person_id	person_label	name_alt	birth_year	death_year	death_type	roles	city_of_origin_id	apostolic_connection	description	wikipedia_url	citations	notes
abgar-viii	Abgar VIII	Abgar the Great	177	212	natural	king	edessa-sanl-urfa		King of Osroene (177–212); likely the first Christian monarch; tradition holds he converted after contact with early Christian missionaries; protected Christians in his realm.	https://en.wikipedia.org/wiki/Abgar_VIII	Eusebius, Eccl. Hist. 1.13	
acacius-of-caesarea	Acacius of Caesarea		300	366	natural	bishop;theologian	caesarea-maritima-caesarea		Bishop of Caesarea Maritima (340–366); leading Arian/homoian theologian; pupil of Eusebius of Caesarea; key figure at councils of Antioch (341) and Seleucia (359).	https://en.wikipedia.org/wiki/Acacius_of_Caesarea	Jerome, De viris illustribus 98	
achaicus	Achaicus				unknown	disciple;delegate		Named in 1 Cor 16:17.	Named in 1 Corinthians among those who visited Paul.	https://en.wikipedia.org/wiki/Special:Search?search=Achaicus	https://biblehub.com/1_corinthians/16-17.htm;https://en.wikipedia.org/wiki/Special:Search?search=Achaicus	1 Cor 16:17.
achillas	Achillas			312	natural	bishop	alexandria-alexandria		Bishop of Alexandria (311–312); successor of Peter of Alexandria; ordained Arius as deacon.	https://en.wikipedia.org/wiki/Achillas_of_Alexandria	Eusebius, Eccl. Hist. 7.32	
addai	Addai	Thaddaeus; Mari		250	unknown	apostle;missionary		Missionary to Edessa credited with founding Syriac Christianity.	Syriac apostle whose mission to Edessa is foundational for the Church of the East; the Doctrine of Addai recounts the mission.	https://en.wikipedia.org/wiki/Thaddaeus_of_Edessa	Doctrine of Addai; Eusebius Ecclesiastical History 1.13	Possibly same as Thaddaeus; apostolic legend of Edessa.
adelfius	Adelfius				unknown	bishop	londinium-london		Bishop present at the Council of Arles (314); likely represented Colchester or Lincoln in Roman Britain.		Concilium Arelatense 314	
aedesius	Aedesius		290		natural	missionary	tyre-tyre-sur		Companion of Frumentius captured by Axumite king Ella Amida; became a trusted court official and later returned to Tyre; helped lay groundwork for Ethiopian Christianity.	https://en.wikipedia.org/wiki/Frumentius	Rufinus, Eccl. Hist. 1.9	
afra	Afra			304	martyrdom	martyr	augusta-vindelicorum-augsburg		Martyr of Augsburg executed under Diocletian c.304; venerated as patron saint of Augsburg; Acts of her martyrdom survive.	https://en.wikipedia.org/wiki/Afra_of_Augsburg	Passio Afrae	
agabus	Agabus				unknown	prophet		Prophet in Acts (Acts 11; 21).	Prophet who foretold a famine and later warned Paul.	https://en.wikipedia.org/wiki/Special:Search?search=Agabus	https://biblehub.com/acts/11-28.htm;https://en.wikipedia.org/wiki/Special:Search?search=Agabus	Acts 11:28; 21:10–11.
aggai	Aggai				unknown	bishop	edessa-sanl-urfa	Direct disciple of Addai	Second bishop of Edessa; disciple of Addai according to the Doctrine of Addai; traditionally martyred by Abgar the Black.	https://en.wikipedia.org/wiki/Aggai	Doctrine of Addai	
agricius	Agricius				unknown	bishop	augusta-treverorum-trier		Early bishop of Trier; present at the Council of Arles (314); venerated locally as a saint.		Concilium Arelatense 314	
agrippinus	Agrippinus			170	unknown	bishop	alexandria-alexandria		Early bishop of Alexandria (c.167-188) in the Coptic succession list.	https://en.wikipedia.org/wiki/Agrippinus_of_Alexandria	Eusebius Ecclesiastical History 4.1	
alban	Alban	Saint Alban		304	martyrdom	martyr			First recorded Christian martyr in Britain; sheltered a priest and converted; executed under Diocletian c.304.	https://en.wikipedia.org/wiki/Saint_Alban	Bede Ecclesiastical History 1.7	Feast day 22 June.
alexander	Alexander	Alexander of Cyrene			unknown	layperson	cyrene-shahhat		Simon of Cyrene's son mentioned in Mark 15:21; possibly known to the Roman Christian community.		Mark 15:21	
alexander-i	Alexander I			115	martyrdom	bishop	rome-rome		Bishop of Rome (c.107-115); associated with early Roman liturgical tradition.	https://en.wikipedia.org/wiki/Pope_Alexander_I	Eusebius Ecclesiastical History 4.1; Liber Pontificalis	Dates highly uncertain.
alexander-of-alexandria	Alexander of Alexandria		250	328	natural	bishop;theologian	alexandria-alexandria		Bishop of Alexandria (312-328) who first condemned Arius and championed the Nicene position; mentor to Athanasius.	https://en.wikipedia.org/wiki/Alexander_of_Alexandria	Eusebius Ecclesiastical History 10.5; Theodoret Ecclesiastical History 1	Partnered with Athanasius at Nicaea.
alexander-of-byzantium	Alexander of Byzantium			314	natural	bishop	byzantium-istanbul		Bishop of Byzantium who preceded Metrophanes; died c.314.		Socrates Scholasticus, Eccl. Hist. 2.6	
alexander-of-constantinople	Alexander of Constantinople			337	natural	bishop	byzantium-istanbul		Bishop of Constantinople (314–337); succeeded Metrophanes; strong supporter of Nicene orthodoxy; opposed Arianism throughout his episcopate.	https://en.wikipedia.org/wiki/Alexander_of_Constantinople	Socrates Scholasticus, Eccl. Hist. 2.6	
alexander-of-jerusalem	Alexander of Jerusalem			251	martyrdom	bishop;martyr	jerusalem-jerusalem		Bishop of Jerusalem (c.212–251); co-bishop with Narcissus; founded the Jerusalem theological library; died in prison under Decius.	https://en.wikipedia.org/wiki/Alexander_of_Jerusalem	Eusebius, Eccl. Hist. 6.8	
ambrose	Ambrose	Ambrosius	340	397	natural	bishop;theologian;author	mediolanum-milan		Bishop of Milan (374-397); converted from catechumen to bishop in one week; major opponent of Arianism in the West; influenced Augustine.	https://en.wikipedia.org/wiki/Ambrose	Augustine Confessions; Paulinus Life of Ambrose	Refused to surrender Milan churches to Empress Justina.
ampliatus	Ampliatus	Amplias			unknown	disciple		Commended by Paul (Rom 16:8).	Named in Romans 16 among Paul's greetings.	https://en.wikipedia.org/wiki/Special:Search?search=Ampliatus	https://biblehub.com/romans/16-8.htm;https://en.wikipedia.org/wiki/Special:Search?search=Ampliatus	Rom 16:8.
anacletus	Anacletus	Cletus			unknown	bishop	rome-rome	Early Roman bishop in traditional succession lists.	Figure in early lists of bishops of Rome; chronology and details are uncertain.	https://en.wikipedia.org/wiki/Pope_Anacletus	https://en.wikipedia.org/wiki/Pope_Anacletus	Dates and historicity details are debated in scholarship.
ananianus	Ananianus			83	unknown	bishop	alexandria-alexandria	Successor to Mark the Evangelist.	Second bishop of Alexandria (c.68-83) according to Coptic tradition.	https://en.wikipedia.org/wiki/Ananianus_of_Alexandria	Eusebius Ecclesiastical History 2.24	
ananias-of-damascus	Ananias of Damascus	Hananiah			unknown	disciple	damascus-damascus	Disciple who baptized Paul (Acts 9).	Disciple in Damascus who restored Paul's sight and baptized him.	https://en.wikipedia.org/wiki/Ananias_of_Damascus	https://en.wikipedia.org/wiki/Ananias_of_Damascus;https://biblehub.com/acts/9-17.htm	Acts 9:10–18.
andrew	Andrew	Saint Andrew			unknown	apostle		One of the Twelve.	Apostle and early disciple of Jesus.	https://en.wikipedia.org/wiki/Andrew_the_Apostle	https://www.britannica.com/biography/Saint-Andrew;https://en.wikipedia.org/wiki/Andrew_the_Apostle	
