relation_id	source_type	source_id	relation_type	target_type	target_id	year_start	year_end	weight	polarity	certainty	evidence_note_id	citations
rel-0001	work	didache	affirms	doctrine	baptismal-regeneration	80	120	4				https://www.newadvent.org/fathers/0714.htm
rel-0002	work	ignatius-smyrnaeans	first_mentions	doctrine	monarchical-episcopacy	107	110	5				https://www.newadvent.org/fathers/0109.htm
rel-0003	work	irenaeus-against-heresies	affirms	doctrine	apostolic-succession	180	185	5				https://www.newadvent.org/fathers/0103.htm
rel-pp-001	person	paul	co-worker	person	barnabas	45	50	5	supports	attested		Acts 13:1–15:39; Gal 2:1
rel-pp-002	person	paul	co-worker	person	silas	49	57	5	supports	attested		Acts 15:40–18:5; 2 Cor 1:19
rel-pp-003	person	paul	co-worker	person	timothy	49	65	5	supports	attested		Acts 16:1–3; Phil 2:19–23; 1 Tim 1:2
rel-pp-004	person	paul	co-worker	person	luke	50	65	5	supports	attested		Col 4:14; 2 Tim 4:11; Phlm 24
rel-pp-005	person	paul	co-worker	person	titus	50	65	4	supports	attested		Gal 2:1–3; 2 Cor 2:13; Tit 1:4
rel-pp-006	person	paul	co-worker	person	aquila	50	56	4	supports	attested		Acts 18:2–3; Rom 16:3
rel-pp-007	person	paul	co-worker	person	priscilla	50	56	4	supports	attested		Acts 18:2–3; Rom 16:3
rel-pp-008	person	paul	co-worker	person	epaphras	55	65	4	supports	attested		Col 1:7; 4:12; Phlm 23
rel-pp-009	person	paul	co-worker	person	epaphroditus	60	65	4	supports	attested		Phil 2:25; 4:18
rel-pp-010	person	paul	co-worker	person	mark-the-evangelist	45	65	3	supports	attested		Acts 13:5,13; 2 Tim 4:11
rel-pp-011	person	paul	co-worker	person	aristarchus	57	62	4	supports	attested		Acts 19:29; 27:2; Col 4:10
rel-pp-012	person	paul	co-worker	person	sosthenes	54	54	3	supports	attested		1 Cor 1:1
rel-pp-013	person	paul	co-worker	person	tychicus	60	65	4	supports	attested		Eph 6:21; Col 4:7; 2 Tim 4:12
rel-pp-014	person	paul	co-worker	person	trophimus	57	57	3	supports	attested		Acts 21:29; 2 Tim 4:20
rel-pp-015	person	paul	co-worker	person	philemon	60	65	3	supports	attested		Phlm 1–2
rel-pp-016	person	paul	co-worker	person	onesimus	60	65	3	supports	attested		Phlm 10–16
rel-pp-017	person	paul	co-worker	person	apollos	53	55	3	supports	attested		1 Cor 3:4–9; 16:12; Acts 18:27–19:1
rel-pp-018	person	barnabas	co-worker	person	mark-the-evangelist	45	57	4	supports	attested		Acts 13:5; 15:36–39; Col 4:10
rel-pp-019	person	priscilla	teacher_of	person	apollos	52	53	4	supports	attested		Acts 18:26
rel-pp-020	person	aquila	teacher_of	person	apollos	52	53	4	supports	attested		Acts 18:26
rel-pp-021	person	peter	co-worker	person	mark-the-evangelist	50	65	5	supports	attested		1 Pet 5:13; Eusebius HE 2.15; Irenaeus AH 3.1.1
rel-pp-022	person	peter	co-worker	person	barnabas	48	50	4	supports	attested		Gal 2:9
rel-pp-023	person	peter	co-worker	person	silas	60	65	4	supports	attested		1 Pet 5:12
rel-pp-024	person	peter	co-worker	person	john-the-apostle	30	65	5	supports	attested		Acts 3:1; 8:14; Gal 2:9
rel-pp-025	person	james-the-just	co-worker	person	peter	33	44	5	supports	attested		Gal 2:9; Acts 15:13–21
rel-pp-026	person	james-the-just	co-worker	person	john-the-apostle	33	62	5	supports	attested		Gal 2:9
rel-pp-027	person	peter	opposed	person	simon-magus	35	65	4	opposes	attested		Acts 8:9–24
rel-pp-028	person	john-the-apostle	teacher_of	person	polycarp-of-smyrna	85	100	5	supports	attested		Irenaeus, Letter to Florinus (Eusebius HE 5.20.6); Irenaeus AH 3.3.4
rel-pp-029	person	john-the-apostle	teacher_of	person	papias-of-hierapolis	85	100	4	supports	claimed_tradition		Eusebius HE 3.39.4
rel-pp-030	person	john-the-apostle	teacher_of	person	ignatius-of-antioch	80	100	3	supports	claimed_tradition		Early tradition; Theodoret HE 3.3
rel-pp-031	person	polycarp-of-smyrna	co-worker	person	ignatius-of-antioch	107	110	5	supports	attested		Ignatius, Letter to Polycarp; Ignatius, Letter to Smyrnaeans
rel-pp-032	person	polycarp-of-smyrna	teacher_of	person	irenaeus-of-lyon	140	160	5	supports	attested		Irenaeus, Letter to Florinus (Eusebius HE 5.20); Irenaeus AH 3.3.4
rel-pp-033	person	irenaeus-of-lyon	teacher_of	person	hippolytus	190	200	3	supports	probable		Photius, Bibliotheca cod. 121; tradition
rel-pp-034	person	pantaenus	teacher_of	person	clement-of-alexandria	175	190	5	supports	attested		Eusebius HE 5.11.1–2; 6.13.2
rel-pp-035	person	clement-of-alexandria	teacher_of	person	origen	195	202	5	supports	attested		Eusebius HE 6.6; Origen, Hom. on Luke 1
rel-pp-036	person	origen	teacher_of	person	gregory-thaumaturgus	233	238	5	supports	attested		Gregory Thaumaturgus, Address of Thanksgiving to Origen
rel-pp-037	person	origen	teacher_of	person	heraclas	200	215	4	supports	attested		Eusebius HE 6.15
rel-pp-038	person	origen	teacher_of	person	dionysius-of-alexandria	215	231	4	supports	probable		Eusebius HE 6.29.4; Jerome, Vir. Ill. 69
rel-pp-039	person	pamphilus-of-caesarea	teacher_of	person	eusebius-of-caesarea	290	309	5	supports	attested		Eusebius, own testimony; Jerome, Vir. Ill. 81
rel-pp-040	person	eusebius-of-caesarea	teacher_of	person	acacius-of-caesarea	320	340	4	supports	attested		Jerome, Vir. Ill. 98
rel-pp-041	person	lucian-of-antioch	teacher_of	person	arius	270	311	4	supports	probable		Theodoret HE 1.5; Alexander of Alexandria, Encyclical Letter
rel-pp-042	person	lucian-of-antioch	teacher_of	person	eusebius-of-nicomedia	270	311	4	supports	probable		Theodoret HE 1.5; Philostorgius HE 2.14
rel-pp-043	person	alexander-of-alexandria	mentor_of	person	athanasius-of-alexandria	312	328	5	supports	attested		Socrates HE 1.15; Sozomen HE 2.17
rel-pp-044	person	arius	opposed	person	alexander-of-alexandria	318	328	5	opposes	attested		Eusebius HE 1.2; Theodoret HE 1.5; Alexander's Encyclical Letter
rel-pp-045	person	arius	opposed	person	athanasius-of-alexandria	325	336	5	opposes	attested		Athanasius, Orations against Arians; De synodis
rel-pp-046	person	athanasius-of-alexandria	opposed	person	arius	318	336	5	opposes	attested		Athanasius, Orations against Arians; De decretis
rel-pp-047	person	athanasius-of-alexandria	opposed	person	eusebius-of-nicomedia	325	341	4	opposes	attested		Socrates HE 1.23; Sozomen HE 2.20
rel-pp-048	person	eusebius-of-nicomedia	co-worker	person	arius	318	336	4	supports	attested		Eusebius of Nic., Letter to Pamphilius defending Arius (Theodoret HE 1.5)
rel-pp-049	person	victor-i	opposed	person	polycrates-of-ephesus	190	195	4	opposes	attested		Eusebius HE 5.24
rel-pp-050	person	polycrates-of-ephesus	opposed	person	victor-i	190	195	4	opposes	attested		Eusebius HE 5.24 (Polycrates' letter)
rel-pp-051	person	irenaeus-of-lyon	mediator_between	person	victor-i	190	195	4	neutral	attested		Eusebius HE 5.24.11–17 (Irenaeus's conciliatory letter to Victor)
rel-pp-052	person	novatian	opposed	person	cornelius	251	258	5	opposes	attested		Eusebius HE 6.43–46; Cyprian Ep. 49–50
rel-pp-053	person	cornelius	opposed	person	novatian	251	253	5	opposes	attested		Cyprian Ep. 49; Eusebius HE 6.43
rel-pp-054	person	cyprian-of-carthage	co-worker	person	cornelius	251	253	4	supports	attested		Cyprian Ep. 44–55; Eusebius HE 6.43
rel-pp-055	person	stephen-i	opposed	person	cyprian-of-carthage	254	258	4	opposes	attested		Cyprian Ep. 74; Eusebius HE 7.2–5; Firmilian Ep. 75
rel-pp-056	person	cyprian-of-carthage	opposed	person	stephen-i	254	258	4	opposes	attested		Cyprian Ep. 74
rel-pp-057	person	firmilian-of-caesarea	co-worker	person	origen	231	268	4	supports	attested		Eusebius HE 6.26–27
rel-pp-058	person	firmilian-of-caesarea	co-worker	person	cyprian-of-carthage	251	268	4	supports	attested		Cyprian Ep. 75 (Firmilian's letter)
rel-pp-059	person	dionysius-of-alexandria	co-worker	person	cornelius	249	253	3	supports	attested		Eusebius HE 6.46
rel-pp-060	person	dionysius-of-alexandria	opposed	person	novatian	251	264	3	opposes	attested		Eusebius HE 6.45
rel-pp-061	person	hippolytus	opposed	person	callixtus-i	217	222	5	opposes	attested		Hippolytus, Refutatio Omnium Haeresium 9.12
rel-pp-062	person	hippolytus	opposed	person	zephyrinus	199	217	4	opposes	attested		Hippolytus, Refutatio 9.11
rel-pp-063	person	callixtus-i	opposed	person	hippolytus	217	222	4	opposes	attested		Hippolytus, Refutatio 9.12; Eusebius HE 6.21
rel-pp-064	person	paul-of-samosata	opposed	person	dionysius-of-alexandria	264	265	4	opposes	attested		Eusebius HE 7.27–29
rel-pp-065	person	paul-of-samosata	opposed	person	dionysius-of-rome	264	268	4	opposes	attested		Eusebius HE 7.27 (Council of Antioch 268)
rel-pp-066	person	tertullian	opposed	person	marcion	200	213	5	opposes	attested		Tertullian, Adversus Marcionem (5 books)
rel-pp-067	person	irenaeus-of-lyon	opposed	person	marcion	175	185	5	opposes	attested		Irenaeus, Against Heresies 1.27; 4.34
rel-pp-068	person	irenaeus-of-lyon	opposed	person	valentinus	175	185	5	opposes	attested		Irenaeus, Against Heresies 1.1–12; 2.1–15
rel-pp-069	person	justin-martyr	opposed	person	marcion	140	165	4	opposes	attested		Justin, 1 Apology 26; 58; Dialogue 35
rel-pp-070	person	clement-of-alexandria	opposed	person	valentinus	195	210	4	opposes	attested		Clement, Stromateis 4.13; 7.17
rel-pp-071	person	clement-of-alexandria	opposed	person	basilides	195	210	4	opposes	attested		Clement, Stromateis 4.12; 5.1
rel-pp-072	person	tertullian	opposed	person	valentinus	200	213	4	opposes	attested		Tertullian, Adversus Valentinianos
rel-pp-073	person	origen	opposed	person	marcion	230	250	4	opposes	attested		Origen, Commentary on John 6; Contra Celsum 6
rel-pp-074	person	constantine-i	co-worker	person	hosius-of-corduba	312	337	5	supports	attested		Eusebius, Vita Constantini 3.7; Athanasius, Hist. Ar. 42
rel-pp-075	person	hosius-of-corduba	co-worker	person	constantine-i	312	337	5	supports	attested		Eusebius, Vita Constantini 3.7; Athanasius, De synodis
rel-pp-076	person	constantius-chlorus	parent_of	person	constantine-i	272	306	5	neutral	attested		Eusebius, Vita Constantini 1.12; Lactantius, De mort. pers. 24
rel-pp-077	person	helena	parent_of	person	constantine-i	272	330	5	neutral	attested		Eusebius, Vita Constantini 3.42–47
rel-pp-078	person	peter	ordained	person	linus	64	76	3	supports	claimed_tradition		Irenaeus AH 3.3.3; Eusebius HE 3.2.1
rel-pp-079	person	linus	successor_of	person	peter	64	67	4	neutral	claimed_tradition		Irenaeus AH 3.3.3; Eusebius HE 3.2
rel-pp-080	person	anacletus	successor_of	person	linus	76	88	3	neutral	claimed_tradition		Irenaeus AH 3.3.3; Eusebius HE 3.13
rel-pp-081	person	clement-of-rome	successor_of	person	anacletus	88	99	4	neutral	claimed_tradition		Irenaeus AH 3.3.3; Eusebius HE 3.15
rel-pp-082	person	evaristus	successor_of	person	clement-of-rome	99	107	3	neutral	claimed_tradition		Eusebius HE 3.34
rel-pp-083	person	simeon-bar-cleophas	successor_of	person	james-the-just	62	63	4	neutral	claimed_tradition		Eusebius HE 3.11; Hegesippus (Eusebius HE 4.22)
rel-pp-084	person	fabian	co-worker	person	origen	236	248	3	supports	attested		Eusebius HE 6.36 (Fabian sent Origen a letter)
rel-pp-085	person	dionysius-of-alexandria	co-worker	person	dionysius-of-rome	259	268	3	supports	attested		Eusebius HE 7.7–9 (shared letters on the Trinity)
rel-pp-086	person	origen	co-worker	person	alexander-of-jerusalem	215	231	3	supports	attested		Eusebius HE 6.14.8–9; 6.27 (Origen preached in Jerusalem)
rel-pp-087	person	gregory-thaumaturgus	disciple_of	person	origen	233	238	5	supports	attested		Gregory Thaumaturgus, Panegyric/Address to Origen
rel-pp-088	person	heraclas	disciple_of	person	origen	200	215	4	supports	attested		Eusebius HE 6.15
