claim_id	reviewer_id	review_status	reviewed_at	confidence	note
clm-1apology-by-justin	cascade-curator	approved	2026-03-17T03:30:00Z	high	Certainty upgraded from probable to attested: ancient sources explicitly name this author (justin-martyr for first-apology-of-justin). Review confidence already high.
clm-1clement-addressed-corinth	cascade-curator	approved	2026-03-16T12:00:00Z	high	The salutation addresses 'the church of God sojourning at Corinth'. The letter's recipient is unambiguous. Claim directly supported.
clm-1clement-affirms-bodily-resurrection	cascade-curator	approved	2026-03-16T14:00:00Z	high	1 Clement 24-26 uses the phoenix myth and agricultural seed imagery as analogies for bodily resurrection. The argument explicitly concludes that 'our resurrection' will occur. The passage directly supports the proposition.
clm-1clement-affirms-episcopal-chair	cascade-curator	approved	2026-03-16T14:00:00Z	high	1 Clement 42 and 44 are the key texts: 42 states apostles 'appointed bishops and deacons from first converts'; 44 states apostles gave instruction that succession should continue. These directly support the claim that episcopal office is grounded in apostolic appointment.
clm-1clement-affirms-fasting	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Passage psg-1clement-24-26 from first-epistle-of-clement directly treats proposition 'fasting-is-required'. The work's affirms is attested from its own text. Excerpt: 'The blessed resurrection which is to come: consider, beloved, how the Lord continually proves to us that there will be a future resurrection' [confidence capped at medium: certainty=probable]
clm-1clement-affirms-frequent-eucharist	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Passage psg-1clement-40-41 from first-epistle-of-clement directly treats proposition 'frequent-eucharistic-assembly'. The work's affirms is attested from its own text. Excerpt: 'To the high priest are given proper services, to the priests their proper place assigned, and on Levites their proper ministrations imposed;' [confidence capped at medium: certainty=probable]
clm-1clement-affirms-incarnation	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Passage psg-1clement-24-26 from first-epistle-of-clement directly treats proposition 'christ-truly-became-flesh'. The work's affirms is attested from its own text. Excerpt: 'The blessed resurrection which is to come: consider, beloved, how the Lord continually proves to us that there will be a future resurrection' [confidence capped at medium: certainty=probable]
clm-1clement-affirms-logos	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Passage psg-1clement-42 from first-epistle-of-clement directly treats proposition 'logos-is-pre-existent-son-of-god'. The work's affirms is attested from its own text. Excerpt: 'The apostles received the gospel from the Lord Jesus Christ; Jesus the Christ was sent from God. So Christ is from God, the apostles from Ch' [confidence capped at medium: certainty=probable]
clm-1clement-affirms-martyrdom-witness	cascade-curator	approved	2026-03-16T14:00:00Z	high	1 Clement 5:1-7 is the earliest non-biblical attestation of Peter's and Paul's martyrdoms. Peter is described as suffering 'many trials... thus departed to the place of glory'; Paul bore witness 'before rulers'. Martyrdom as witness to Christ is the explicit theological framework of this passage.
clm-1clement-affirms-ordination	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Passage psg-1clement-24-26 from first-epistle-of-clement directly treats proposition 'ordination-conferred-by-laying-on-of-hands'. The work's affirms is attested from its own text. Excerpt: 'The blessed resurrection which is to come: consider, beloved, how the Lord continually proves to us that there will be a future resurrection' [confidence capped at medium: certainty=probable]
clm-1clement-affirms-ot-scripture	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Passage psg-1clement-24-26 from first-epistle-of-clement directly treats proposition 'old-testament-is-authoritative-scripture'. The work's affirms is attested from its own text. Excerpt: 'The blessed resurrection which is to come: consider, beloved, how the Lord continually proves to us that there will be a future resurrection' [confidence capped at medium: certainty=probable]
clm-1clement-affirms-repentance	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Passage psg-1clement-24-26 from first-epistle-of-clement directly treats proposition 'repentance-is-required'. The work's affirms is attested from its own text. Excerpt: 'The blessed resurrection which is to come: consider, beloved, how the Lord continually proves to us that there will be a future resurrection' [confidence capped at medium: certainty=probable]
clm-1clement-affirms-rule-of-faith	cascade-curator	approved	2026-03-16T12:00:00Z	high	1 Clement 44 specifically invokes apostolic instruction as the ground for church order; this is the locus classicus for the rule-of-faith argument. Direct attestation.
clm-1clement-affirms-succession	cascade-curator	approved	2026-03-17T04:00:00Z	medium	[Auto-downgrade 2026-03-16T18:00:00Z] Certainty changed from 'attested' to 'probable': no passage excerpt explicitly names both subject 'first-epistle-of-clement' and object 'apostolic-succession-transmits-faith'. Original note: 1 Clement 42 states 'The apostles appointed bishops and deacons from the first c [confidence capped at medium: certainty=probable]
clm-1clement-affirms-threefold	cascade-curator	approved	2026-03-16T14:00:00Z	high	1 Clement 42 mentions appointment of 'bishops and deacons'; presbyterate is implied in 44's language about 'approved men succeeding'. The passage is the earliest extra-biblical attestation of episcopal/diaconal roles.
clm-1clement-by-clement	cascade-curator	approved	2026-03-17T03:30:00Z	high	Certainty upgraded from probable to attested: ancient sources explicitly name this author (clement-of-rome for first-epistle-of-clement). Review confidence already high.
clm-1clement-written-rome	cascade-curator	approved	2026-03-16T13:00:00Z	high	Already approved in previous batch. Salutation explicitly confirms Rome as origin.
clm-1clement-year-end	cascade-curator	approved	2026-03-16T20:30:00Z	medium	Passage psg-1clement-24-26 provides strong support for work_year_end claim (first-epistle-of-clement → ). Excerpt: 'The blessed resurrection which is to come: consider, beloved, how the Lord continually proves to us that there will be a future resurrection. The day and the ni'
clm-1clement-year-start	cascade-curator	approved	2026-03-16T20:30:00Z	medium	Passage psg-1clement-24-26 provides strong support for work_year_start claim (first-epistle-of-clement → ). Excerpt: 'The blessed resurrection which is to come: consider, beloved, how the Lord continually proves to us that there will be a future resurrection. The day and the ni'
clm-1cor-year-end	cascade-curator	approved	2026-03-16T20:30:00Z	medium	Passage psg-1cor-1-2 provides strong support for work_year_end claim (first-epistle-to-the-corinthians → ). Excerpt: 'Paraphrase: Paul addresses the church of God that is in Corinth.'
clm-1cor-year-start	cascade-curator	approved	2026-03-16T20:30:00Z	medium	Passage psg-1cor-1-2 provides strong support for work_year_start claim (first-epistle-to-the-corinthians → ). Excerpt: 'Paraphrase: Paul addresses the church of God that is in Corinth.'
clm-1corinthians-by-paul	cascade-curator	approved	2026-03-17T06:00:00Z	high	1 Cor 1:1 explicit self-identification; universally accepted as authentic.
clm-1john-affirms-incarnation	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Explicit attestation in passage psg-ignatius-smyrn-1: work_affirms_proposition (first-epistle-of-john → christ-truly-became-flesh). Excerpt: 'Paraphrase: Ignatius confesses that Christ was truly of the seed of David, truly born of a virgin, baptized by John that all righteousness might be fulfilled, t' [confidence capped at medium: certainty=probable]
clm-1john-affirms-logos	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Explicit attestation in passage psg-john-20-31: work_affirms_proposition (first-epistle-of-john → logos-is-pre-existent-son-of-god). Excerpt: 'Paraphrase: These things are written so that you may believe Jesus is the Christ, the Son of God.' [confidence capped at medium: certainty=probable]
clm-1john-by-john	cascade-curator	approved	2026-03-17T06:00:00Z	medium	Traditional attribution to John the Apostle; shared vocabulary with Fourth Gospel supports Johannine school.
clm-1pet-affirms-baptism-regen	cascade-curator	approved	2026-03-17T12:30:00Z	medium	Upgraded reviewed→approved: probable certainty with direct supports evidence. Confidence set to medium.
clm-1peter-by-peter	cascade-curator	approved	2026-03-17T06:00:00Z	medium	Traditional attribution to Simon Peter (1 Pet 1:1); disputed on stylistic and historical grounds.
clm-1thess-by-paul	cascade-curator	approved	2026-03-17T09:00:00Z	high	1 Thess 1:1 explicit Paul authorship; earliest of Paul's surviving letters; universally accepted.
clm-1timothy-by-paul	cascade-curator	approved	2026-03-17T09:00:00Z	medium	Traditional Pauline attribution (1 Tim 1:1); classified as Pastoral Epistle; widely regarded as deuteropauline (c. 90-110 CE).
clm-2corinthians-by-paul	cascade-curator	approved	2026-03-17T10:00:00Z	high	2 Cor 1:1 explicit Paul+Timothy authorship; universally accepted as authentic.
clm-2john-by-john	cascade-curator	approved	2026-03-17T10:00:00Z	low	2 Jn 1:1 'the Elder'; traditionally attributed to John the Apostle but the Papias distinction between the Apostle and Elder John creates genuine uncertainty.
clm-2peter-by-peter	cascade-curator	approved	2026-03-17T10:00:00Z	low	2 Pet 1:1 claims Peter authorship; widely regarded as the latest NT writing (c. 100-150 CE) and pseudonymous; dependent on Jude; not attested before Origen.
clm-2thessalonians-by-paul	cascade-curator	approved	2026-03-17T10:00:00Z	medium	Traditional Pauline attribution (2 Thess 1:1); widely regarded as deuteropauline.
clm-2timothy-by-paul	cascade-curator	approved	2026-03-17T10:00:00Z	medium	Traditional Pauline attribution (2 Tim 1:1); Pastoral Epistle; fragment theory proposes authentic personal notes embedded in pseudonymous frame (2 Tim 4:9-21).
clm-3john-authored-by-john-son-of-zebedee	cascade-curator	approved	2026-03-17T15:45:00Z	low	Authored_by claim for work lacking attribution.
clm-abgar-in-conversion-edessa	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Passage psg-eusebius-he-1-13 explicitly names abgar-viii-of-edessa as participant in conversion-of-edessa. Excerpt: 'Paraphrase: Eusebius reproduces documents from the archives of Edessa: King Abgar writes to Jesus asking for healing; Je' [confidence capped at medium: certainty=probable]
clm-abgar-member-edessa-church	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Passage psg-wikipedia-early-church-geography explicitly names abgar-viii-of-edessa as member of edessa-church. Excerpt: 'Early centers of Christianity included Jerusalem, Antioch, Alexandria, Rome, Carthage, and Edessa. Communities spread to' [confidence capped at medium: certainty=probable]
clm-abgar-viii-active-edessa	cascade-curator	approved	2026-03-16T16:00:00Z	high	Passage psg-wikipedia-early-church-geography directly places abgar-viii-of-edessa in edessa: 'Early centers of Christianity included Jerusalem, Antioch, Alexandria, Rome, Carthage, and Edessa. Communities spread to...'
clm-acts-affirms-baptism-regen	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Acts 2:38; 22:16 tie baptism to forgiveness and washing. [confidence capped at medium: certainty=probable]
clm-acts-affirms-baptism-water	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Acts 8:36-38; 10:47-48 mandate water baptism. [confidence capped at medium: certainty=probable]
clm-acts-affirms-eucharist-sunday	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Passage psg-acts-20-6-17 from acts-of-the-apostles directly treats proposition 'eucharist-offered-on-sunday'. The work's affirms is attested from its own text. Excerpt: 'Paraphrase: Paul stays in Troas, departs by sea, and comes to Miletus where he summons the Ephesian elders.' [confidence capped at medium: certainty=probable]
clm-acts-by-luke	cascade-curator	approved	2026-03-17T04:30:00Z	medium	Irenaeus AH 3.1.1 and Eusebius HE 3.4.7 name Luke as author of both Gospel and Acts; the 'we-passages' (Acts 16, 20, 27-28) imply a travel companion of Paul. Traditional attribution.
clm-acts-repentance	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Luke 24:47 and Acts 2:38 both require repentance. [confidence capped at medium: certainty=probable]
clm-acts-resurrection	openai-curator	approved	2026-03-16T20:00:00Z	high	Passage psg-acts-2-32 from acts-of-the-apostles directly treats proposition 'jesus-is-proclaimed-as-raised'. The work's affirms is attested from its own text. Excerpt: 'Paraphrase: Peter proclaims that God raised Jesus up, and the apostles are witnesses.'
clm-acts-thomas-affirms-ascetic-covenant	cascade-curator	approved	2026-03-16T16:00:00Z	high	Passage psg-acts-thomas-27 from acts-of-thomas directly addresses the proposition 'ascetic-covenant-is-normative'. Excerpt: 'Paraphrase: Thomas anoints the convert with oil, invoking the name of Christ; the anointing precedes the water baptism; oil is called the se...' The work's affirms of this proposition is directly attested.
clm-acts-thomas-affirms-baptism-regeneration	cascade-curator	approved	2026-03-17T04:00:00Z	medium	Passage psg-acts-thomas-27 from acts-of-thomas directly treats proposition 'baptism-effects-regeneration'. The work's affirms is attested from its own text. Excerpt: 'Paraphrase: Thomas anoints the convert with oil, invoking the name of Christ; the anointing precedes the water baptism; oil is called the se' [confidence capped at medium: certainty=probable]
