id	name_display	name_alt	year_start	year_end	capital	region	description	wikipedia_url	citations
roman-empire	Roman Empire	Imperium Romanum	27	476	Rome	Mediterranean	The Roman Empire dominated the Mediterranean world during Christianity's formative centuries. Its roads, legal system, and common languages (Greek/Latin) facilitated the spread of the gospel. Persecution was sporadic until Decius (249) and systematic under Diocletian (303-311), ending with Constantine's legalization (313).	https://en.wikipedia.org/wiki/Roman_Empire	https://www.britannica.com/place/Roman-Empire
eastern-roman-empire	Eastern Roman Empire	Byzantine Empire	395	1453	Constantinople	Eastern Mediterranean	The continuation of the Roman Empire in the East after the division of 395. Became the primary patron and protector of Orthodox Christianity, hosting ecumenical councils and defining Christian doctrine through imperial authority.	https://en.wikipedia.org/wiki/Byzantine_Empire	https://www.britannica.com/place/Byzantine-Empire
sassanid-empire	Sassanid Empire	Sasanian Empire; Sassanid Persian Empire	224	651	Ctesiphon	Persia / Mesopotamia	The last pre-Islamic Persian empire, ruling Mesopotamia and Iran. Christianity (Church of the East) existed as a tolerated minority, sometimes persecuted, sometimes protected. The Sassanids were Zoroastrian and often viewed Christians with suspicion as Roman sympathizers.	https://en.wikipedia.org/wiki/Sasanian_Empire	https://www.britannica.com/topic/Sasanian-dynasty
parthian-empire	Parthian Empire	Arsacid Empire	247	224	Ctesiphon	Persia / Mesopotamia	The Arsacid dynasty ruling Iran and Mesopotamia before the Sassanids. Christianity entered Parthian territory through Jewish-Christian communities in Mesopotamia, especially Edessa and Nisibis.	https://en.wikipedia.org/wiki/Parthian_Empire	https://www.britannica.com/place/Parthian-empire
kingdom-of-aksum	Kingdom of Aksum	Aksumite Empire	100	940	Aksum	Ethiopia / Eritrea	East African kingdom that adopted Christianity c.340 under King Ezana through the influence of Frumentius, consecrated by Athanasius of Alexandria. One of the earliest Christian states.	https://en.wikipedia.org/wiki/Kingdom_of_Aksum	https://www.britannica.com/place/Aksum
kingdom-of-armenia	Kingdom of Armenia	Armenian Kingdom	321	428	Vagharshapat	Armenia / Caucasus	First kingdom to adopt Christianity as state religion (c.301) under King Tiridates III through Gregory the Illuminator. The Armenian Apostolic Church traces its origins to the apostles Thaddeus and Bartholomew.	https://en.wikipedia.org/wiki/Kingdom_of_Armenia_(antiquity)	https://www.britannica.com/place/Armenia
kingdom-of-iberia	Kingdom of Iberia	Kartli	302	580	Mtskheta	Georgia / Caucasus	Caucasian kingdom that converted to Christianity c.330 through Saint Nino. Became part of the Georgian Orthodox tradition; strategically located between Roman and Persian spheres.	https://en.wikipedia.org/wiki/Kingdom_of_Iberia	https://www.britannica.com/place/Georgia
nabataean-kingdom	Nabataean Kingdom	Nabataea	312	106	Petra	Arabia / Jordan	Arab kingdom centered on Petra, annexed by Rome in 106 AD. Early Christian communities may have existed among Nabataean populations, especially after Paul's sojourn in Arabia (Gal 1:17).	https://en.wikipedia.org/wiki/Nabataean_Kingdom	https://www.britannica.com/place/Nabataean-kingdom
palmyrene-empire	Palmyrene Empire	Kingdom of Palmyra	260	273	Palmyra	Syria	Brief breakaway state under Zenobia that controlled the eastern Roman provinces. Bishop Paul of Samosata was condemned for adoptionism during this period; Palmyra's fall restored Roman ecclesiastical order.	https://en.wikipedia.org/wiki/Palmyrene_Empire	https://www.britannica.com/place/Palmyra
chera-kingdom	Chera Kingdom	Keralaputra	300	1102	Vanchi	South India / Kerala	South Indian dynasty in Kerala where the Thomas Christian community traces its origins to the Apostle Thomas. The Chera rulers were generally tolerant of Christianity alongside Hinduism and Buddhism.	https://en.wikipedia.org/wiki/Chera_dynasty	https://www.britannica.com/topic/Thomas-Christians
