id	name_display	name_alt	tradition	year_start	year_end	founder	parent_tradition	description	modern_descendants	wikipedia_url	citations
proto-orthodox	Proto-Orthodox	Catholic; Great Church	mainstream	33	325	Jesus Christ; Apostles	none	The mainstream Christian tradition tracing authority through apostolic succession and the rule of faith. Before Nicaea (325), this stream is called "proto-orthodox" by historians to distinguish it from the later formally defined orthodoxy.	Eastern Orthodox; Roman Catholic; Oriental Orthodox	https://en.wikipedia.org/wiki/Proto-orthodox_Christianity	https://www.britannica.com/topic/Christianity
nicene-orthodox	Nicene Orthodox	Orthodox; Catholic; Chalcedonian	mainstream	325	null	Council of Nicaea	proto-orthodox	The mainstream tradition after Nicaea (325) defined by the Nicene Creed, Chalcedonian Christology, and the seven ecumenical councils. Split into Eastern Orthodox and Roman Catholic in 1054.	Eastern Orthodox; Roman Catholic	https://en.wikipedia.org/wiki/Nicene_Christianity	https://www.britannica.com/event/First-Council-of-Nicaea-325
jewish-christianity	Jewish Christianity	Nazarenes; Ebionites	heterodox	33	135	Jesus Christ; James the Just	none	The earliest form of Christianity, maintaining Jewish law observance alongside faith in Jesus as Messiah. Centered in Jerusalem under James; scattered after 70 AD; marginalized after 135 AD when Gentile Christianity became dominant.	none (absorbed or extinct)	https://en.wikipedia.org/wiki/Jewish_Christianity	https://www.britannica.com/topic/Jewish-Christianity
arianism	Arianism	Arian	heterodox	318	660	Arius of Alexandria	proto-orthodox	Teaching that the Son of God was a created being, not co-eternal with the Father. Condemned at Nicaea (325) but remained influential, especially among Germanic tribes, until the 7th century.	none (extinct)	https://en.wikipedia.org/wiki/Arianism	https://www.britannica.com/topic/Arianism
donatism	Donatism	Donatist	schismatic	311	700	Donatus Magnus	proto-orthodox	North African schism over whether bishops who surrendered scriptures during persecution could validly ordain. Insisted on moral purity of clergy for valid sacraments. Condemned at Arles (314) and Carthage (411).	none (extinct)	https://en.wikipedia.org/wiki/Donatism	https://www.britannica.com/topic/Donatists
montanism	Montanism	New Prophecy; Cataphrygian	heterodox	172	600	Montanus of Phrygia	proto-orthodox	Charismatic movement emphasizing new prophecy, strict asceticism, and imminent eschatology. Attracted Tertullian. Condemned by multiple synods but persisted in Asia Minor for centuries.	none (extinct)	https://en.wikipedia.org/wiki/Montanism	https://www.britannica.com/topic/Montanism
gnosticism	Gnosticism	Gnostic	heterodox	100	400	Various (Valentinus, Basilides, Marcion)	none	Diverse movement teaching salvation through secret knowledge (gnosis), dualistic cosmology, and a demiurge creator distinct from the supreme God. Refuted by Irenaeus, Tertullian, and Hippolytus.	none (extinct)	https://en.wikipedia.org/wiki/Gnosticism	https://www.britannica.com/topic/gnosticism
marcionism	Marcionism	Marcionite	heterodox	144	500	Marcion of Sinope	gnosticism	Rejected the Old Testament and taught that the God of the OT was a different deity from the Father of Jesus. Created the first known Christian canon. Excommunicated from Rome c.144.	none (extinct)	https://en.wikipedia.org/wiki/Marcionism	https://www.britannica.com/biography/Marcion
church-of-the-east	Church of the East	Nestorian; East Syriac	schismatic	431	null	Apostle Thomas (tradition); separated after Ephesus 431	proto-orthodox	The Syriac-speaking church of Mesopotamia and Persia that rejected the Council of Ephesus (431) and the Theotokos title. Expanded dramatically along the Silk Road to China, India, and Central Asia.	Assyrian Church of the East; Chaldean Catholic Church	https://en.wikipedia.org/wiki/Church_of_the_East	https://www.britannica.com/topic/Church-of-the-East
miaphysite	Miaphysite	Non-Chalcedonian; Oriental Orthodox	schismatic	451	null	Dioscorus of Alexandria (as faction leader)	nicene-orthodox	Tradition rejecting the Council of Chalcedon (451), holding that Christ has one united nature (mia physis) that is both divine and human. "Monophysite" is considered a pejorative misnomer.	Coptic Orthodox; Ethiopian Orthodox; Armenian Apostolic; Syriac Orthodox	https://en.wikipedia.org/wiki/Miaphysitism	https://www.britannica.com/topic/monophysitism
novatianist	Novatianist	Novatian	schismatic	251	600	Novatian of Rome	proto-orthodox	Rigorist schism after the Decian persecution, insisting that Christians who lapsed during persecution could never be readmitted. Elected Novatian as rival bishop of Rome.	none (extinct)	https://en.wikipedia.org/wiki/Novatianism	https://www.britannica.com/topic/Novatianism
pelagianism	Pelagianism	Pelagian	heterodox	400	431	Pelagius	proto-orthodox	Teaching that humans can achieve salvation through their own free will without divine grace, and that original sin did not corrupt human nature. Condemned at Carthage (418) and Ephesus (431).	none (extinct)	https://en.wikipedia.org/wiki/Pelagianism	https://www.britannica.com/topic/Pelagianism
syriac-christianity	Syriac Christianity	Syriac proto-orthodox	mainstream	40	null	Apostles (tradition: Addai/Thaddeus)	proto-orthodox	The Aramaic/Syriac-speaking Christian tradition centered on Edessa, Nisibis, and Antioch. Produced distinctive liturgy, hymnody (Ephrem), and theology. Split into East Syriac (Church of the East) and West Syriac (Syriac Orthodox) traditions.	Syriac Orthodox Church; Maronite Church; Assyrian Church of the East	https://en.wikipedia.org/wiki/Syriac_Christianity	https://www.britannica.com/topic/Syriac-language
