proposition_id	topic_id	dimension_id	proposition_label	polarity_family	description	notes
allegorical-interpretation-of-scripture	biblical-interpretation	allegorical-exegesis	Scripture has a spiritual and allegorical sense beyond the literal	allegorical_exegesis	Scripture contains multiple layers of meaning — literal, moral, and spiritual/allegorical — and the deeper spiritual sense is often the most important for the soul's progress toward God.	
almsgiving-is-required	social-ethics	almsgiving-required	Almsgiving is Required		Christians are obligated to give alms to the poor as stewards of God's gifts; wealth deployed through giving redeems sins and fulfills the commandment of love.	
apostolic-succession-transmits-faith	apostolic-tradition	apostolic-succession	Faith is transmitted through apostolic succession	apostolic_succession	The bishops who succeed the apostles are authoritative guarantors of the received tradition.	Succession and tradition
ascetic-covenant-is-normative	ascetic-practice	ascetic-covenant	The ascetic covenant (bnay qyama) is the normative Christian calling	ascetic_covenant	Baptized Christians are called to a consecrated ascetic life as members of a covenant community (bnay qyama / bnat qyama); this is the normative rather than exceptional form of Christian discipleship in early Syriac tradition.	Ascetic covenant
baptism-administered-in-trinitarian-name	baptism-practice	baptismal-formula	Baptism is administered in the Trinitarian name of Father, Son, and Holy Spirit	trinitarian_baptism	Baptism uses the explicit Trinitarian formula of Father, Son, and Holy Spirit as the form of the sacrament.	Trinitarian baptismal formula
baptism-effects-regeneration	baptism-practice	baptism-regeneration	Baptism effects spiritual regeneration	baptism_regeneration	Baptism is not merely symbolic but effects a new birth or regeneration of the recipient.	Baptismal regeneration
baptism-is-illumination	baptism-practice	baptism-illumination	Baptism is called illumination, by which the soul receives the light of salvation	baptism_illumination	Baptism is not merely a washing but an illumination of the soul — the reception of divine light, adoption as children of God, and entry into immortal life.	Baptismal illumination
baptism-with-water-commanded	baptism-practice	baptism-mode	Baptism is administered with water	baptism_water	Baptismal practice uses water as the material element.	Core initiatory practice
baptismal-anointing-with-oil	baptism-practice	baptismal-anointing	Baptismal Anointing with Oil		After emerging from the baptismal water, the newly baptized is anointed with chrism or oil as part of the baptismal rite, signifying the reception of the Holy Spirit and incorporation into Christ.	
bartholomew-preached-in-india	christian-expansion	apostle-bartholomew-india	The apostle Bartholomew preached in India and left a Hebrew Gospel of Matthew	bartholomew_india	Eusebius HE 5.10 reports that Pantaenus found in India Christians who possessed a Hebrew Matthew left by the apostle Bartholomew; Philostorgius HE 3.6 also mentions Bartholomew.	
bishop-authority-over-eucharist	episcopal-authority	bishop-liturgy	Valid Eucharist requires the bishop or his delegate	episcopal_eucharist	Proper eucharistic celebration is administered by or authorized by the bishop.	Episcopal control of sacraments
bishop-succession-guarantees-apostolic-faith	apostolic-tradition	episcopal-chair	The succession of bishops in their see guarantees the apostolic faith	episcopal_chair	The see of the bishop, transmitted through orderly succession, is the locus and guarantee of the faith received from the apostles.	Episcopal chair and succession
bishops-govern-local-church	church-order	monarchical-episcopate	A single bishop governs the local church	monarchical_episcopacy	A single bishop holds authority over the local Christian community as representative of God.	Monarchical episcopate
bodies-will-be-raised-at-last-day	bodily-resurrection	bodily-resurrection-affirmed	The human body will be raised from the dead at the last day	bodily_resurrection_affirmed	At the final judgment God will raise the same bodies that died, reuniting them with their souls for eternal life or punishment.	Bodily resurrection
catechumenate-precedes-baptism	baptism-practice	catechumenate	A formal catechumenate precedes baptism		Candidates for baptism undergo a structured period of pre-baptismal instruction, examination, and moral formation (the catechumenate) before being admitted to the sacrament.	
christ-dominion-is-universal	christian-expansion	britannia-reached	Christ's dominion extends to all nations beyond the Roman frontier	universal_dominion	Tertullian Adv. Jud. 7 rhetorically lists all nations reached by Christ including those beyond Roman access; an early theological claim of universal Christian presence.	
christ-truly-became-flesh	incarnation-theology	true-incarnation	Christ truly became flesh and truly suffered in the body	incarnation_realism	The incarnate Christ was a genuine human being who truly was born, truly suffered, truly died, and truly rose again; not a phantom or appearance as the Docetists claimed.	Anti-docetist
christ-truly-suffered-and-died	incarnation-theology	passion-reality	Christ Truly Suffered and Died		Christ's passion and death on the cross were genuine physical events, not apparent, symbolic, or borne by a substitute. Denied by docetists, Basilides (Simon Cyrene substitution), Marcion, and Cerinthus.	
christianity-established-in-arabia	christian-expansion	arabia-christianized	Christian communities were established in the Arabian Peninsula	arabia_christianized	Christianity was established in the Arabian Peninsula including at Bostra (synod c. 244), and in Himyar through Theophilus the Indian's mission c. 354 (Philostorgius); Najran attested later.	
christianity-established-in-ethiopia	christian-expansion	ethiopia-christianized	Christianity was established in Ethiopia through Frumentius and the conversion of King Ezana	ethiopia_christianized	The Aksumite kingdom (Ethiopia) received Christianity through the mission of Frumentius, consecrated by Athanasius of Alexandria, who converted King Ezana c. 330; attested by Rufinus, Socrates, Sozomen.	
christianity-reached-britannia	christian-expansion	britannia-reached	Christianity reached Britannia before the end of the Roman period	britannia_reached	Christianity was present in Roman Britain; rhetorical attestation by Tertullian c. 200, Origen c. 244, and firm documentary evidence of 3 British bishops at the Council of Arles 314.	
christians-avoid-public-spectacles	ascetic-practice	public-spectacles-avoided	Christians are instructed to abstain from public games, theaters, and spectacles	spectacles_avoided	Public games, theaters, and spectacles are morally dangerous entertainments that Christians must avoid in favor of the word of God.	Avoidance of public spectacles
christians-fast-on-wednesday-and-friday	ascetic-practice	fasting-days	Christians fast on Wednesday and Friday	wednesday_friday_fast	The Didache mandates fasting on Wednesday and Friday as distinctively Christian fast days, distinguishing Christians from the Jewish practice of fasting on Monday and Thursday.	Stated fast days
